x,y,fitness
46,39,-15.569834943259082
46,54,-8.061122469179727
43,43,-14.609142819211371
37,56,-12.71634345005931
52,48,-7.947063219607426
49,44,-10.950871746258759
69,40,-8.995479786718825
61,41,-9.04944123194829
43,50,-11.41043440219186
51,74,-3.8280704369327
55,35,-14.590390014670202
57,46,-7.190065682741484
43,49,-11.408173311733648
45,56,-8.25422263435011
46,65,-5.900596689061014
57,51,-5.417163314939042
41,35,-20.83654555098272
36,53,-14.156692471853841
50,47,-9.045012873909041
45,42,-14.040007278264888
52,41,-11.511176571663174
47,48,-9.763714620832012
36,46,-17.272576659521192
56,44,-8.580624676912326
42,46,-13.744245961193506
50,41,-12.469358994025374
49,53,-7.156191331009572
53,38,-13.067175991222028
46,57,-7.317254765781668
38,29,-27.140632566025463
49,47,-9.62510264307505
45,81,-7.8478727588027795
45,62,-6.6261132736985955
53,49,-7.230925482845491
54,48,-7.125320363402871
56,59,-3.1935129723066282
38,58,-11.76858273578884
57,34,-14.784072385359792
55,61,-2.9401507433988368
50,45,-10.180557769409251
41,61,-9.273802192128175
54,36,-13.994296822787854
41,55,-10.369459096187464
43,57,-8.74849301384334
65,49,-4.8313331975676
45,63,-6.56820629797341
71,49,-4.384020215500008
55,51,-5.695574974639715
64,45,-6.748142519684295
37,58,-12.154228567896844
50,56,-5.766469155880554
60,56,-2.7937414961929736
53,56,-4.586625883068593
52,56,-5.17436832785383
50,55,-6.113108724189065
36,59,-12.711185714985904
52,50,-7.233310714546016
72,39,-9.56106846110855
46,73,-5.9721573464330335
42,48,-12.71454125936382
51,61,-4.340264222378724
45,49,-10.325266241874107
55,47,-7.352551987478309
52,62,-3.8477720638093587
43,44,-14.440134167402986
49,43,-11.412340824139445
30,47,-21.857869441078225
36,28,-29.721368372110984
58,44,-8.03490837105103
46,52,-8.858610897078748
55,60,-3.1697218255144843
58,46,-7.286381322950343
41,54,-10.992597597572994
67,55,-2.1530208708543923
48,56,-6.766865244817464
55,46,-8.054277223483963
47,58,-6.60671059381256
63,53,-3.2338326376929003
47,59,-6.360945461013544
51,44,-10.084842818593108
60,43,-8.043810882485712
40,50,-13.099955007405093
64,47,-5.483785235755839
60,50,-4.748854852483223
40,43,-16.48205486183168
61,56,-2.692803853457451
55,58,-3.4055781214358385
39,36,-21.408929135378465
64,48,-4.9806343685351395
44,61,-7.390358621346654
48,36,-16.136949007990193
66,44,-6.841747582934652
35,48,-17.010296218440704
58,41,-9.969924290327194
53,65,-3.028223612923447
51,54,-6.125329775676974
62,49,-4.9609892036435586
47,60,-6.107503071973345
45,46,-12.123484035986923
46,51,-9.057615404950063
54,53,-5.451043846401405
38,48,-14.898956150120647
60,47,-5.95017583994341
